"","X.1","X","school_add","school_nm","population","prop.population","all.races","prop.all.races","white","prop.white","af.am","prop.af.am","hispanic","prop.hispanic","am.ind","prop.am.ind","asian","prop.asian","nh.pi","prop.nh.pi","prop.school.black","prop.school.white","prop.school.hispanic","prop.school.asian","prop.school.pi","prop.school.multi","prop.school.EL","prop.school.lowincome","total.students","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4","white.prop.difference","white.prop.difference.percent","med.income","med.rent","total.income","income.10k","income.15k","income.20k","income.25k","income.30k","income.35k","income.40k","income.50k","income.60k","income.75k","income.100k","income.125k","income.150k","income.200k","income.more","home.total","home.owners","lnorm.gini","lnorm.sd","ela.grade3.mean","ela.grade3.sd","ela.grade3.chisq","math.grade3.mean","math.grade3.sd","math.grade3.chisq","ela.grade5.mean","ela.grade5.sd","ela.grade5.chisq","math.grade5.mean","math.grade5.sd","math.grade5.chisq","largest.group","school.white","school.black","school.hispanic","school.asian","race.chi.sq","most.common.group"
"1",1,1,"5625 N MCVICKER AV","HITCH",9745,1,9745,1,8074,0.828527449974346,100,0.0102616726526424,1635,0.167778347870703,44,0.00451513596716265,657,0.0674191893278604,4,0.000410466906105695,0.021,45,38.1,14.1,0.6,0,2.5,0.116,467,2.5,30,40,27.5,0,7.5,47.5,45,7.3,31.7,41.5,19.5,0,17.1,73.2,9.8,1.9,30.2,43.4,24.5,0,18.9,73.6,7.5,-37.8527449974346,-0.456867723557097,63.7847293996922,1048.04207285788,3907.97657726199,0.0456155263818213,0.0221278631037869,0.0551619648765953,0.0424687719080371,0.0339948472737994,0.0280666812159297,0.0301902459053389,0.0300308482219401,0.0288574816212925,0.0791677050288193,0.0555090604563448,0.142181908214875,0.154320629979223,0.0802383132121534,0.101301915041618,3907.97657726199,0.663149550161436,0.720405970120567,123.057324258061,2.92929292929293,0.811304382505077,23.3899089531928,3.38383838383838,0.617881018648028,42.1011640970074,2.91836734693878,0.76889892338766,15.8612201865501,2.88775510204082,0.494977934762284,11.7465917208894,0.45,210,9,177,65,963.658446201906,"White"
"2",2,2,"1104 W 31ST ST","HOLDEN",9130,1,9130,1,3845,0.421139101861993,355,0.0388828039430449,2836,0.310624315443593,59,0.00646221248630887,3254,0.356407447973713,1,0.000109529025191676,0.048,17.1,65,13,0.2,0,2.5,0.219,631,4.9,40.7,43.2,11.1,6,9.6,54.2,30.1,4.6,50.8,36.9,7.7,4.5,28.8,63.6,3,0,25.9,58.6,15.5,1.7,10.3,81,6.9,-25.0139101861993,-0.593958387516255,42.381682475356,853.920591456736,3690.54785195871,0.0773687915687022,0.0557298313539987,0.0846921348676559,0.0381981005875597,0.0560899196872512,0.0726257079473087,0.0631085512125892,0.0373925433435366,0.0307302425676265,0.0749223137507926,0.116716894944436,0.0916680592548018,0.0849941700989493,0.0401398142852914,0.031864025191885,3690.54785195871,0.472651924421552,0.704598514238739,77.755719265633,2.62244897959184,0.739396607194614,4.00035091962818,3.09090909090909,0.796560323386787,11.5159964716541,2.89795918367347,0.633917551606183,17.1132495757267,2.93877551020408,0.449887191601698,25.1686898050225,0.65,107,30,410,82,584.343847731764,"White"
"3",3,3,"955 W GARFIELD BL","HOLMES",2996,1,2996,1,38,0.0126835781041389,2888,0.963951935914553,77,0.0257009345794393,17,0.00567423230974633,0,0,0,0,0.994,0.2,0.4,0,0,0,2.5,0,471,16.1,48.4,30.6,4.8,16.1,32.3,38.7,12.9,7.1,66.7,26.2,0,12.5,40,47.5,0,2.4,69,21.4,7.1,4.8,54.8,38.1,2.4,-1.06835781041389,-0.842315789473684,24.326259012016,1009.38851802403,814.422816015893,0.166166900406097,0.0927408398853349,0.112444473909588,0.131010819136888,0.0747249764761777,0.0629397514143612,0.0384389571154442,0.0190550444977098,0.0437005374506966,0.0869426291832342,0.0394666501584753,0.040741007960323,0.0603982149550037,0.0145269757326009,0,814.422816015893,0.299727375053553,0.670797791529068,38.0498086189769,2.22448979591837,0.766981125117532,19.0135283366455,2.46938775510204,0.910466988284437,17.6699840846009,2.33333333333333,0.63887656499994,26.6466266903292,2.38775510204082,0.602959249810851,33.6147667847498,0.994,0,468,1,0,500.704204225673,"Black"
"4",4,4,"720 N LOREL AV","HOWE",4995,1,4995,1,64,0.0128128128128128,4803,0.961561561561562,126,0.0252252252252252,8,0.0016016016016016,1,0.0002002002002002,0,0,0.994,0,0.2,0.2,0.2,0,2.5,0,541,22.7,42.7,33.3,1.3,25.3,20,45.3,9.3,6.8,57.6,33.9,1.7,10.2,32.2,55.9,1.7,0,62,32,6,2,38,58,2,-1.28128128128128,-1,32.8004402402402,883.087287287287,1493.05541530077,0.193403311052507,0.108063720793621,0.108815622275577,0.0898275247160092,0.029124250861385,0.0370040774484957,0.071032580534222,0.0419268546075643,0.0295677419861451,0.0672051639813563,0.0645553498809115,0.0780002693088507,0.0392966610018812,0.0119445216149781,0.00441790698803249,1493.05541530077,0.264794104838808,0.646408975416705,32.9491865285088,2.13265306122449,0.76841992254344,31.3922754512699,2.38383838383838,0.965814351399269,33.7820894772525,2.44,0.608359277155375,13.5102707150328,2.6,0.568535243614961,4.68564519284909,0.994,0,537,1,1,571.970454445283,"Black"
"5",5,5,"1540 W 84TH ST","CUFFE",4072,1,4072,1,10,0.00245579567779961,3993,0.980599214145383,43,0.0105599214145383,17,0.00417485265225933,1,0.000245579567779961,2,0.000491159135559921,0.998,0,0.2,0,0,0,2.5,0.002,600,10.1,14.5,47.8,27.5,8.8,14.7,33.8,42.6,0,17.6,58.8,23.5,0,7.8,72.5,19.6,1.2,20.9,69.8,8.1,1.2,20.9,74.4,3.5,-0.245579567779961,-1,37.3607141453831,875.709479371316,1346.05706401969,0.111843320890798,0.12573417490775,0.0746158755846621,0.0395122898815777,0.0651335620040023,0.0471181871096631,0.100652341798196,0.0589319373192217,0.0389042028419015,0.0605410671667461,0.0956842866723594,0.0672883931085389,0.0743631291644142,0.00882634962693551,0.00283879216849735,1346.05706401969,0.532379690033222,0.691056751604151,55.6105349630364,2.92857142857143,0.910986776641953,30.3031584953318,3.12371134020619,0.949316990862848,24.9483092123081,2.85714285714286,0.556127998320049,33.8621815562275,2.80612244897959,0.490280022350075,11.1058036949118,0.998,0,598,1,0,640.638353410132,"Black"
"6",6,6,"1420 W 17TH ST","PILSEN",3315,1,3315,1,1607,0.484766214177979,140,0.0422322775263952,2721,0.820814479638009,31,0.00935143288084465,44,0.0132730015082956,3,0.000904977375565611,0.024,0.9,96.5,0.2,0,0,2.5,0.297,451,13.8,27.7,47.7,10.8,15.2,13.6,34.8,36.4,2.4,45.2,40.5,11.9,2.2,22.2,57.8,17.8,0,57.9,31.6,10.5,0,42.1,47.4,10.5,-47.5766214177979,-0.981434349719975,27.5083441930618,688.710708898944,1178.14013347196,0.11672466516108,0.0216468501381686,0.0589508675735678,0.101173693137504,0.0307046937995542,0.0453629773847697,0.0632976302330653,0.0339726378173536,0.0276620060786497,0.0469710560803558,0.161004176322478,0.133489293598335,0.0735934501865314,0.0243700056775243,0.0202280533255619,1178.14013347196,0.267142891260973,0.694662295252073,68.7711178261877,2.55670103092783,0.853535199490776,4.37401796021511,2.92857142857143,1.05761840993381,18.6969527895396,2.52040816326531,0.677009674765796,7.93463377826552,2.67676767676768,0.651971622461874,7.88313870406142,0.965,4,10,435,0,640.762892040095,"Hispanic"
"7",7,7,"10650 S EBERHART AV","CULLEN",3899,1,3899,1,7,0.00179533213644524,3839,0.984611438830469,34,0.00872018466273403,5,0.00128238009746089,0,0,0,0,0.994,0,0,0.6,0,0,2.5,0.003,326,0,24.3,62.2,13.5,0,13.5,62.2,24.3,0,37.1,60,2.9,0,22.9,71.4,5.7,0,36.6,53.7,9.8,2.4,19.5,70.7,7.3,-0.179533213644524,-1,35.8684631956912,844.129263913824,1354.55966002093,0.133265894687629,0.0960913067980273,0.0569345997792987,0.0624797840985424,0.041181504130046,0.0493951756459841,0.0660843885539089,0.070769325285323,0.0319091734075071,0.082916052851842,0.106939739876516,0.087749222416642,0.0586311676968679,0.0125054920271922,0.0188473320042661,1354.55966002093,0.41383318403714,0.689858198998678,60.4063866747943,2.88888888888889,0.604217978116644,22.201491332727,3.11111111111111,0.604217978116644,17.003623228405,2.72448979591837,0.622277364566239,7.05013173629072,2.83673469387755,0.568845413222916,9.90729866807768,0.994,0,324,0,1,345.791359074457,"Black"
"8",8,8,"4247 W 15TH ST","HUGHES C E",2624,1,2624,1,40,0.0152439024390244,2527,0.963033536585366,73,0.0278201219512195,4,0.00152439024390244,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,19,45.2,33.3,2.4,33.3,16.7,45.2,4.8,4.9,53.7,24.4,17.1,0,24.4,63.4,12.2,0,45.9,48.6,5.4,0,33.3,61.1,5.6,NA,NA,25.7942549542683,944.198170731707,711.622377622378,0.169218372280419,0.137792103142627,0.0684931506849315,0.119258662369057,0.0612409347300564,0.0854149879129734,0,0.0620467365028203,0.0338436744560838,0.064464141821112,0.0298146655922643,0.107171635777599,0.0177276390008058,0,0.0257856567284448,711.622377622378,0.207896857373086,0.657203439638025,38.505549305152,2.18181818181818,0.76082174108451,23.6218715320634,2.20408163265306,0.962805005078127,75.9667101670116,2.59183673469388,0.589193659967526,6.7420095140687,2.71717171717172,0.55402799679505,1.22322756182372,NA,0,0,0,0,NA,"Black"
"9",9,9,"1746 S MILLER ST","JUNGMAN",4834,1,4834,1,2244,0.464211832850641,350,0.072403806371535,3546,0.733553992552751,91,0.0188249896565991,107,0.0221348779478693,0,0,0.04,0.6,94.8,0,0.6,0,2.5,0.419,329,15.8,44.7,36.8,2.6,28.2,17.9,43.6,10.3,3.2,51.6,45.2,0,0,40.6,56.3,3.1,3.6,57.1,28.6,10.7,0,42.9,57.1,0,-45.8211832850641,-0.98707486631016,40.976113570542,897.568266446007,1962.77939299818,0.0792839466148978,0.0399096496037421,0.0399717367369228,0.0614597527170854,0.0411698640537749,0.0533784512533139,0.063598400773822,0.0384747306430964,0.0425900988229994,0.06245783880911,0.128886090885772,0.118887636235817,0.0684907749987593,0.0580562108571378,0.0444043190929205,1962.77939299818,0.302684960927138,0.703007560768441,77.6718684005793,2.25773195876289,0.739909207767299,15.7219863320423,2.35714285714286,1.00770229608043,44.8557606080537,2.45918367346939,0.720371716001699,11.1979928865543,2.57575757575758,0.496742636335202,9.33247885981846,0.948,1,13,311,0,NA,"Hispanic"
"10",10,10,"3849 W 69TH PL","HURLEY",7117,1,7117,1,3846,0.540396234368414,282,0.0396234368413657,5909,0.830265561332022,46,0.00646339749894618,57,0.00800899255304201,4,0.000562034565125755,0.027,2,95.1,0.2,0,0,2.5,0.296,980,2.9,39,50.5,7.6,0,14.3,56.2,29.5,0,19.4,61.3,19.4,0,9.7,64.5,25.8,1,37.1,52.4,9.5,1.9,21,73.3,3.8,-52.0396234368414,-0.962990119604784,47.1349228607559,1148.09793452297,2039.55869774156,0.0454114259341602,0.0448693782724435,0.0337875456197618,0.0708054131962282,0.0527937188570193,0.0346892325636865,0.0456183065399799,0.0243105592546582,0.064289980037364,0.112606248509927,0.134465063778538,0.144172148869414,0.0728588478753757,0.0623416136883405,0.0413251859574138,2039.55869774156,0.799209562148095,0.723311016436782,108.137168071271,2.63265306122449,0.648356448705618,10.2189393500953,3.15151515151515,0.644658371220304,15.3003481996873,2.6969696969697,0.646095738380922,4.92882622947659,2.79591836734694,0.496569337222378,9.81352930989975,0.951,19,26,931,1,NA,"Hispanic"
