SCHOOL ID (R-C-D-T-S),"SCHOOL TYPE CODE (0,1,2,C)",SCHOOL NAME,DISTRICT NAME,CITY,COUNTY ,"DISTRICT TYPE CODE (0,1,2,9)","DISTRICT SIZE CODE (1,2,...8,9)",DISTRICT TYPE NAME,DISTRICT SIZE NAME,SCHOOL TYPE NAME,GRADES IN SCHOOL,SCHOOL - WHITE %,SCHOOL - BLACK %,SCHOOL - HISPANIC %,SCHOOL - ASIAN %,SCHOOL - NATIVE AMERICAN %,SCHOOL - MULTIRACIAL/ETHNIC %,SCHOOL TOTAL ENROLLMENT,SUBREGION - WHITE %,SUBREGION - BLACK %,SUBREGION - HISPANIC %,SUBREGION - ASIAN %,SUBREGION - NATIVE AMERICAN %,SUBREGION - MULTIRACIAL/ETHNIC %,SUBREGION TOTAL ENROLLMENT,DISTRICT - WHITE %,DISTRICT - BLACK %,DISTRICT - HISPANIC %,DISTRICT - ASIAN %,DISTRICT - NATIVE AMERICAN %,DISTRICT - MULTIRACIAL/ETHNIC %,DISTRICT TOTAL ENROLLMENT,STATE - WHITE %,STATE - BLACK %,STATE - HISPANIC %,STATE - ASIAN %,STATE - NATIVE AMERICAN %,STATE - MULTIRACIAL/ETHNIC %,STATE TOTAL ENROLLMENT,L.E.P. SCHOOL %,L.E.P. SUBREGION %,L.E.P. DISTRICT %,L.E.P. STATE %,LOW-INCOME SCHOOL %,LOW-INCOME SUBREGION %,LOW-INCOME DISTRICT %,LOW-INCOME STATE %,PARENTAL INVOLVEMENT SCHOOL %,PARENTAL INVOLVEMENT SUBREGION %,PARENTAL INVOLVEMENT DISTRICT %,PARENTAL INVOLVEMENT STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,ATTENDANCE RATE SCHOOL %,ATTENDANCE RATE SUBREGION %,ATTENDANCE RATE DISTRICT %,ATTENDANCE RATE STATE %,MOBILITY RATE SCHOOL %,MOBILITY RATE SUBREGION %,MOBILITY RATE DISTRICT %,MOBILITY RATE STATE %,CHRONIC TRUANTS # - SCHOOL,CHRONIC TRUANTS  #- SUBREGION,CHRONIC TRUANTS  #- DISTRICT,CHRONIC TRUANTS  #- STATE,CHRONIC TRUANTS RATE SCHOOL %,CHRONIC TRUANTS RATE SUBREGION %,CHRONIC TRUANTS RATE DISTRICT %,CHRONIC TRUANTS RATE STATE %,DROPOUT RATE  SCHOOL %,DROPOUT RATE SUBREGION %,DROPOUT RATE DISTRICT % ,DROPOUT RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,HS GRAD RATE SCHOOL % ,HS GRAD RATE SUBREGION %,HS GRAD RATE DISTRICT %,HS GRAD RATE STATE % ,,,,,,,,,
1.001E+13,0,Seymour High School              ,Payson CUSD 1                    ,Payson           ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12                 ,99.6,0,0,0,0,0.4,256,     ,     ,     ,     ,     ,     ,       ,99.1,0,0,0,0.4,0.6,540,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0.2,8,39.5,     ,36.5,42.9,100,     ,100,96.7,95.2,     ,95.6,93.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,7.5,     ,7.9,13.5,2,      ,2,73,245,0.8,     ,0.4,3.7,0.6,     ,0.6,3.5,97.3,     ,97.3,87.1,94.7,     ,94.7,84.5,100,     ,100,89.7,97.3,     ,97.3,92.3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,100,     ,100,78.1,100,     ,100,76.6,,,,,,
1.001E+13,2,Seymour Elementary School        ,Payson CUSD 1                    ,Payson           ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2 3 4 5 6               ,98.6,0,0,0,0.7,0.7,284,     ,     ,     ,     ,     ,     ,       ,99.1,0,0,0,0.4,0.6,540,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0.4,     ,0.2,8,33.8,     ,36.5,42.9,100,     ,100,96.7,96.1,     ,95.6,93.7,96.4,     ,96.4,95,95.7,     ,95.7,95.1,96.1,     ,96.1,95.4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,99.4,     ,99.4,94,95.7,     ,95.7,94.6,     ,     ,     ,     ,     ,     ,     ,     ,95.2,     ,95.2,93.9,94.8,     ,94.8,94.2,8.3,     ,7.9,13.5,0,      ,2,73,245,0,     ,0.4,3.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,,,,,,
1.001E+13,0,Liberty High School              ,Liberty CUSD 2                   ,Liberty          ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12                 ,99.3,0,0,0.4,0.4,0,274,     ,     ,     ,     ,     ,     ,       ,99.7,0,0,0.2,0.2,0,656,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,26.6,     ,25.5,42.9,100,     ,100,96.7,95,     ,95.4,93.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,6.9,     ,6.3,13.5,20,      ,20,73,245,7.3,     ,3.4,3.7,1.7,     ,1.7,3.5,100,     ,100,87.1,100,     ,100,84.5,100,     ,100,89.7,100,     ,100,92.3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,100,     ,100,78.1,100,     ,100,76.6,,,,,,
1.001E+13,2,Liberty Elementary School        ,Liberty CUSD 2                   ,Liberty          ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2 3 4 5 6               ,100,0,0,0,0,0,382,     ,     ,     ,     ,     ,     ,       ,99.7,0,0,0.2,0.2,0,656,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,24.6,     ,25.5,42.9,100,     ,100,96.7,95.8,     ,95.4,93.7,95.6,     ,95.6,95,96,     ,96,95.1,95.8,     ,95.8,95.4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,95,     ,95,93.9,94.9,     ,94.9,94.2,5.7,     ,6.3,13.5,0,      ,20,73,245,0,     ,3.4,3.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,,,,,,
1.001E+13,0,Central High School              ,Central CUSD 3                   ,Camp Point       ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,98.8,0,0,0,0,1.2,328,     ,     ,     ,     ,     ,     ,       ,97.9,0.1,0.2,0,0,1.7,974,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,29.6,     ,33.7,42.9,97,     ,99,96.7,92.2,     ,93.8,93.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,20.3,     ,15.3,13.5,11,      ,13,73,245,3.6,     ,1.5,3.7,0.3,     ,0.3,3.5,89.4,     ,89.4,87.1,89.2,     ,89.2,84.5,89.6,     ,89.6,89.7,89.4,     ,89.4,92.3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,100,     ,100,78.1,69.2,     ,69.2,76.6,,,,,,
1.001E+13,1,Central Junior High School       ,Central CUSD 3                   ,Camp Point       ,Adams      ,2,8,UNIT       ,MEDIUM,MIDDLE SCHL,5 6 7 8                        ,98.2,0,0,0,0,1.8,276,     ,     ,     ,     ,     ,     ,       ,97.9,0.1,0.2,0,0,1.7,974,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,34.8,     ,33.7,42.9,100,     ,99,96.7,94.7,     ,93.8,93.7,95,     ,94.6,95,94.5,     ,94.6,95.1,94.7,     ,94.6,95.4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,95.3,     ,96.1,94.6,     ,     ,     ,     ,     ,     ,     ,     ,92.4,     ,93,93.9,93.4,     ,93.2,94.2,13.7,     ,15.3,13.5,2,      ,13,73,245,0.7,     ,1.5,3.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,,,,,,
1.001E+13,2,Central Elementary Grade School  ,Central CUSD 3                   ,Camp Point       ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,PK K 1 2                       ,96.6,0.4,0,0,0,3,234,     ,     ,     ,     ,     ,     ,       ,97.9,0.1,0.2,0,0,1.7,974,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,32.5,     ,33.7,42.9,100,     ,99,96.7,94.1,     ,93.8,93.7,93.7,     ,94.6,95,94.5,     ,94.6,95.1,94,     ,94.6,95.4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,96.8,     ,96.1,94.6,     ,     ,     ,     ,     ,     ,     ,     ,92.6,     ,93,93.9,92.9,     ,93.2,94.2,14.3,     ,15.3,13.5,0,      ,13,73,245,0,     ,1.5,3.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,,,,,,
1.001E+13,2,Central 3-4 Middle School        ,Central CUSD 3                   ,Golden           ,Adams      ,2,8,UNIT       ,MEDIUM,ELEMENTARY ,3 4                            ,97.8,0,1.5,0,0,0.7,136,     ,     ,     ,     ,     ,     ,       ,97.9,0.1,0.2,0,0,1.7,974,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,43.4,     ,33.7,42.9,100,     ,99,96.7,95,     ,93.8,93.7,95.3,     ,94.6,95,94.8,     ,94.6,95.1,95.2,     ,94.6,95.4,94.4,     ,94.4,93.4,84.7,     ,84.7,95.4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,96.6,     ,93,93.9,93.2,     ,93.2,94.2,8.2,     ,15.3,13.5,0,      ,13,73,245,0,     ,1.5,3.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,,,,,,
1.001E+13,0,Unity High School                ,CUSD 4                           ,Mendon           ,Adams      ,2,8,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,99.5,0,0,0,0,0.5,193,     ,     ,     ,     ,     ,     ,       ,99.4,0,0.1,0.3,0,0.3,786,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,16.6,     ,29.5,42.9,100,     ,97.1,96.7,94.8,     ,95.9,93.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,9,     ,9.2,13.5,3,      ,3,73,245,1.5,     ,0.4,3.7,0.5,     ,0.5,3.5,100,     ,100,87.1,100,     ,100,84.5,100,     ,100,89.7,100,     ,100,92.3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,100,     ,100,88.9,     ,     ,     ,     ,     ,     ,     ,     ,100,     ,100,78.1,100,     ,100,76.6,,,,,,
1.001E+13,1,Unity Middle School              ,CUSD 4                           ,Mendon           ,Adams      ,2,8,UNIT       ,MEDIUM,MIDDLE SCHL,5 6 7 8                        ,100,0,0,0,0,0,222,     ,     ,     ,     ,     ,     ,       ,99.4,0,0.1,0.3,0,0.3,786,53.3,19.1,20.8,4.1,0.2,2.5,2,70,125,0,     ,0,8,31.5,     ,29.5,42.9,100,     ,97.1,96.7,96.4,     ,95.9,93.7,96.7,     ,96.5,95,96.1,     ,96.2,95.1,96.4,     ,96.3,95.4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,94.5,     ,93.8,93.9,95.3,     ,94.4,94.2,6.1,     ,9.2,13.5,0,      ,3,73,245,0,     ,0.4,3.7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,,,,,,
