"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"1","Charles J Sahs Elem School","Chicago","ELEMENTARY","140161100022002",0,25,34.1,40.9,0,4.5,38.6,56.8,0,36.6,46.3,17.1,0,19.5,65.9,14.6,0,17.3,40.4,42.3,0,13.5,59.6,26.9
"2","Jackson, M Elem School","Chicago","ELEMENTARY","150162990252046",14.3,40,42.9,2.9,16.7,38.9,38.9,5.6,3.7,40.7,55.6,0,3.7,22.2,74.1,0,0,44.8,51.7,3.4,0,41.4,58.6,0
"3","Morgan Elem School","Chicago","ELEMENTARY","150162990252047",9.7,38.7,48.4,3.2,16.1,22.6,51.6,9.7,7.4,59.3,29.6,3.7,3.7,40.7,51.9,3.7,0,68.4,31.6,0,0,47.4,52.6,0
"4","Green, W Elem School","Chicago","ELEMENTARY","150162990252048",3.2,22.6,54.8,19.4,0,19.4,45.2,35.5,7.1,32.1,46.4,14.3,0,14.3,78.6,7.1,0,31.7,56.1,12.2,0,26.2,66.7,7.1
"5","Abbott Elem School","Chicago","ELEMENTARY","150162990252050",23.1,38.5,38.5,0,15.4,30.8,46.2,7.7,0,58.3,33.3,8.3,0,33.3,58.3,8.3,0,45.5,36.4,18.2,0,27.3,72.7,0
"6","Addams Elem School","Chicago","ELEMENTARY","150162990252051",7.3,42.7,37.8,12.2,8.5,17.1,53.7,20.7,2.9,25.5,56.9,14.7,1,13.7,68.6,16.7,0.9,29.1,50.9,19.1,0,22.7,64.5,12.7
"7","Agassiz Elem School","Chicago","ELEMENTARY","150162990252052",3.4,20.7,51.7,24.1,3.4,10.3,37.9,48.3,0,28.6,42.9,28.6,0,13.8,62.1,24.1,0,29.2,54.2,16.7,0,8.3,83.3,8.3
"8","Alcott Elem School","Chicago","ELEMENTARY","150162990252053",2,9.8,43.1,45.1,0,2,27.5,70.6,0,20.9,39.5,39.5,0,9.3,37.2,53.5,0,10,38,52,0,8,58,34
"9","Aldridge Elem School","Chicago","ELEMENTARY","150162990252054",27.7,40.4,29.8,2.1,21.3,42.6,36.2,0,2.2,39.1,50,8.7,4.3,32.6,60.9,2.2,0,48.1,51.9,0,0,46.2,53.8,0
"10","Altgeld Elem School","Chicago","ELEMENTARY","150162990252055",7.7,20.9,54.9,16.5,4.4,5.5,50.5,39.6,3.8,43.6,42.3,10.3,3.8,24.4,56.4,15.4,0,21.9,43.8,34.4,0,7.8,92.2,0
