ID,CPS,CPS.2009,IL.original,IL.2009,,,,
1,ADDAMS,ADDAMS,Addams Elem School,Addams Elem School,,,,
2,AGASSIZ,AGASSIZ,Agassiz Elem School,Agassiz Elem School,,,,
3,ALCOTT ES,ALCOTT,Alcott Elem School,Alcott Elem School,,,,
4,ALDRIDGE,ALDRIDGE,Aldridge Elem School,Aldridge Elem School,,,,
5,ARMOUR,ARMOUR,Armour Elem School,Armour Elem School,,,,
6,"ARMSTRONG, G",ARMSTRONG G,Armstrong G Elem IntL Studies,"Armstrong, G Elem Intl Studies",,,,
7,ASHE,ASHE,Ashe Elem School,Ashe Elem School,,,,
8,AUDUBON,AUDUBON,Audubon Elem School,Audubon Elem School,,,,
9,AVALON PARK,AVALON PARK,Avalon Park Elem School,Avalon Park Elem School,,,,
10,AZUELA,AZUELA,Azuela Elem School,Azuela Elem School,,,,
11,BARNARD,BARNARD,Barnard Elem Comp Math & Sci Ctr,Barnard Elem Comp Math & Sci Ctr,,,,
12,BARRY,BARRY,Barry Elem School,Barry Elem School,,,,
13,BARTON,BARTON,Barton Elem School,Barton Elem School,,,,
14,BASS,BASS,Bass Elem School,Bass Elem School,,,,
15,BATEMAN,BATEMAN,Bateman Elem School,Bateman Elem School,,,,
16,BEAUBIEN,BEAUBIEN,Beaubien Elem School,Beaubien Elem School,,,,
17,BEETHOVEN,BEETHOVEN,Beethoven Elem School,Beethoven Elem School,,,,
18,BEIDLER,BEIDLER,Beidler Elem School,Beidler Elem School,,,,
19,BELDING,BELDING,Belding Elem School,Belding Elem School,,,,
20,BELL,BELL,Bell Elem School,Bell Elem School,,,,
21,BENNETT,BENNETT,Bennett Elem School,Bennett Elem School,,,,
22,BLAINE,BLAINE,Blaine Elem School,Blaine Elem School,,,,
23,BOND,BOND,Bond Elem School,Bond Elem School,,,,
24,BOONE,BOONE,Boone Elem School,Boone Elem School,,,,
25,BOUCHET,BOUCHET ACADEMY,Bouchet Elem Math & Science Acad,Bouchet Elem Math & Science Acad,,,,
26,BRADWELL,BRADWELL,Bradwell Comm Arts & Sci Elem Sch,Bradwell Comm Arts & Sci Elem Sch,,,,
27,BRENNEMANN,BRENNEMANN,Brennemann Elem School,Brennemann Elem School,,,,
28,BRENTANO,BRENTANO,Brentano Elem Math & Science Acad,Brentano Elem Math & Science Acad,,,,
29,BRIDGE,BRIDGE REGULAR,Bridge Elem School,Bridge Elem School,,,,
30,BRIGHT,BRIGHT,Bright Elem School,Bright Elem School,,,,
31,BRIGHTON PARK,BRIGHTON PARK,Brighton Park Elem School,Brighton Park Elem School,,,,
32,"BROWN, R",BROWN,Brown R Elem Community Acad,"Brown, R Elem Community Acad",,,,
