ID,CPS,IL.original
1,ADDAMS,Addams Elem School
2,AGASSIZ,Agassiz Elem School
3,ALCOTT ES,Alcott Elem School
4,ALDRIDGE,Aldridge Elem School
5,ARMOUR,Armour Elem School
6,"ARMSTRONG, G",Armstrong G Elem IntL Studies
7,ASHE,Ashe Elem School
8,AUDUBON,Audubon Elem School
9,AVALON PARK,Avalon Park Elem School
10,AZUELA,Azuela Elem School
11,BARNARD,Barnard Elem Comp Math & Sci Ctr
12,BARRY,Barry Elem School
13,BARTON,Barton Elem School
14,BASS,Bass Elem School
15,BATEMAN,Bateman Elem School
16,BEAUBIEN,Beaubien Elem School
17,BEETHOVEN,Beethoven Elem School
18,BEIDLER,Beidler Elem School
19,BELDING,Belding Elem School
20,BELL,Bell Elem School
21,BENNETT,Bennett Elem School
22,BLAINE,Blaine Elem School
23,BOND,Bond Elem School
24,BOONE,Boone Elem School
25,BOUCHET,Bouchet Elem Math & Science Acad
26,BRADWELL,Bradwell Comm Arts & Sci Elem Sch
27,BRENNEMANN,Brennemann Elem School
28,BRENTANO,Brentano Elem Math & Science Acad
29,BRIDGE,Bridge Elem School
30,BRIGHT,Bright Elem School
31,BRIGHTON PARK,Brighton Park Elem School
32,"BROWN, R",Brown R Elem Community Acad
33,BROWNELL,Brownell Elem School
34,BRUNSON,Brunson Math & Sci Specialty Elem
35,BUDLONG,Budlong Elem School
36,BURBANK,Burbank Elem School
37,BURKE,Burke Elem School
38,BURLEY,Burley Elem School
39,BURNHAM,Burnham Elem Inclusive Academy
40,BURR,Burr Elem School
41,BURROUGHS,Burroughs Elem School
42,BYRNE,Byrne Elem School
43,CALDWELL,Caldwell Elem Acad of Math & Sci
44,CALMECA,Calmeca Acad Elem School
45,CAMERON,Cameron Elem School
46,CAMRAS,Camras Elem School
47,CANTY,Canty Elem School
48,CARDENAS,Cardenas Elem School
49,CARNEGIE,Carnegie Elem School
50,CARROLL,Carroll Elem School
51,CARSON,Carson Elem School
52,CARTER,Carter Elem School
53,"CARVER , G",Carver Primary School
54,CASALS,Casals Elem School
55,CASSELL,Cassell Elem School
56,CATHER,Cather Elem School
57,CHALMERS,Chalmers Elem Specialty School
58,CHAPPELL,Chappell Elem School
59,CHASE,Chase Elem School
60,CHAVEZ,Chavez Elem Multicultural Acad Ct
61,CHOPIN,Chopin Elem School
62,"CLARK, G",Clark  G R Elem School
63,CLAY,Clay Elem School
64,CLEVELAND,Cleveland Elem School
65,CLINTON,Clinton Elem School
66,CLISSOLD,Clissold Elem School
67,COLEMON,Colemon J Elem Academy
68,COLES,Coles Elem Language Academy
69,COLUMBIA EXPLORERS,Columbia Explorers Elem Academy
70,COLUMBUS,Columbus Elem School
71,COOK,Cook Elem School
72,COONLEY,Coonley Elem School
73,COOPER,Cooper Elem Dual Language Academy
74,CORKERY,Corkery Elem School
75,COURTENAY,Courtenay Elem Language Arts Ctr
76,CROWN,Crown Elem Comm Acd Fine Arts Ctr
77,CUFFE,Cuffe Math-Sci Tech Elem Academy
78,CULLEN,Cullen Elem School
79,CURTIS,Curtis Elem School
80,DALEY,Daley Elem Academy
81,DARWIN,Darwin Elem School
82,"DAVIS, N",Davis N Elem School
83,DAWES,Dawes Elem School
84,DE PRIEST,Depriest Elem School
85,DENEEN,Deneen Elem School
86,DETT,Dett Elem School
87,DEVER,Dever Elem School
88,DEWEY,Dewey Elem Academy of Fine Arts
89,DIEGO,De Diego Elem Community Academy
90,DIRKSEN,Dirksen Elem School
91,DIXON,Dixon Elem School
92,DOOLITTLE,James R Doolittle Academy
93,DORE,Dore Elem School
94,DRAKE,Drake Elem School
95,DUBOIS,Dubois Elem School
96,DULLES,Dulles Elem School
